procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6511916  34320 824560    0    0     0     0 20616 28893  5  2 93  0  0  0 2026-09-21 16:20:33
 0  0      0 6511916  34320 824560    0    0     0     0 19905 27865  5  3 92  0  0  0 2026-09-21 16:20:34
 2  0      0 6510404  34320 824560    0    0     0     0 24778 34502  6  3 91  0  0  0 2026-09-21 16:20:35
 0  0      0 6508340  34320 824560    0    0     0     0 20101 28648  6  2 92  0  0  0 2026-09-21 16:20:36
 0  0      0 6504356  34320 824560    0    0     0     0 21910 30829  6  2 92  0  0  0 2026-09-21 16:20:37
 0  0      0 6484952  34320 824564    0    0     0     0 22742 30303  8  3 89  0  0  0 2026-09-21 16:20:38
 0  0      0 6484196  34320 824580    0    0     0     0 19705 27823  5  2 93  0  0  0 2026-09-21 16:20:39
 0  0      0 6484196  34320 824580    0    0     0     0 21483 30300  6  3 92  0  0  0 2026-09-21 16:20:40
 0  0      0 6484196  34320 824580    0    0     0     0 22399 30860  6  3 91  0  0  0 2026-09-21 16:20:41
 2  0      0 6482952  34320 824596    0    0     0    12 22803 31832  6  3 91  0  0  0 2026-09-21 16:20:42
 0  0      0 6482712  34320 824612    0    0     0     0 20739 29446  6  2 92  0  0  0 2026-09-21 16:20:43
 0  0      0 6482036  34320 824612    0    0     0     0 19771 27921  6  2 92  0  0  0 2026-09-21 16:20:44
 4  0      0 6461840  34320 824612    0    0     0     0 21360 29498  6  3 91  0  0  0 2026-09-21 16:20:45
 0  0      0 6461040  34320 824612    0    0     0     0 17926 25132  6  2 92  0  0  0 2026-09-21 16:20:46
 1  0      0 6460284  34320 824612    0    0     0     0 21471 29747  6  2 92  0  0  0 2026-09-21 16:20:47
 0  0      0 6460284  34328 824604    0    0     0    88 20528 29193  5  2 93  0  0  0 2026-09-21 16:20:48
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6459608  34328 824612    0    0     0     0 21715 30635  5  3 92  0  0  0 2026-09-21 16:20:49
 0  0      0 6459528  34328 824612    0    0     0     0 15320 20955  4  2 95  0  0  0 2026-09-21 16:20:50
 0  0      0 6459528  34328 824612    0    0     0     0 18686 26743  4  1 95  0  0  0 2026-09-21 16:20:51
 0  0      0 6459528  34328 824612    0    0     0     0 19677 27388  4  2 94  0  0  0 2026-09-21 16:20:52
 0  0      0 6459528  34328 824612    0    0     0     0 18476 24320  5  2 93  0  0  0 2026-09-21 16:20:53
 0  0      0 6446568  34328 824612    0    0     0     4 21781 30138  5  3 93  0  0  0 2026-09-21 16:20:54
4320 824560    0    0     0     0 20134 28227  5  2 93  0  0  0 2026-09-21 16:20:34
 0  0      0 6510404  34320 824560    0    0     0     0 22880 31649  6  3 91  0  0  0 2026-09-21 16:20:35
 0  0      0 6510404  34320 824560    0    0     0     0 21154 30074  5  2 93  0  0  0 2026-09-21 16:20:36
 0  0      0 6507884  34320 824560    0    0     0     0 21137 30020  6  3 92  0  0  0 2026-09-21 16:20:37
 2  0      0 6496796  34320 824564    0    0     0     0 21279 29523  5  2 93  0  0  0 2026-09-21 16:20:38
 0  0      0 6484448  34320 824580    0    0     0     0 22825 30861  8  3 89  0  0  0 2026-09-21 16:20:39
 1  0      0 6484196  34320 824580    0    0     0     0 20271 28673  5  2 94  0  0  0 2026-09-21 16:20:40
 0  0      0 6484196  34320 824580    0    0     0     0 22221 30747  7  3 91  0  0  0 2026-09-21 16:20:41
 0  0      0 6483176  34320 824596    0    0     0    12 22327 30785  6  3 92  0  0  0 2026-09-21 16:20:42
 0  0      0 6482712  34320 824612    0    0     0     0 21483 30420  6  2 92  0  0  0 2026-09-21 16:20:43
 0  0      0 6482460  34320 824612    0    0     0     0 20906 29500  6  3 92  0  0  0 2026-09-21 16:20:44
 0  0      0 6475012  34320 824612    0    0     0     0 19863 28085  6  2 92  0  0  0 2026-09-21 16:20:45
 0  0      0 6461292  34320 824612    0    0     0     0 20022 27803  7  3 91  0  0  0 2026-09-21 16:20:46
 0  0      0 6461040  34320 824612    0    0     0     0 19287 27162  6  2 92  0  0  0 2026-09-21 16:20:47
 1  0      0 6460284  34320 824612    0    0     0     0 21539 29815  5  3 92  0  0  0 2026-09-21 16:20:48
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 6460284  34328 824612    0    0     0    88 19817 28245  5  2 93  0  0  0 2026-09-21 16:20:49
 0  0      0 6459528  34328 824612    0    0     0     0 19305 26620  5  2 93  0  0  0 2026-09-21 16:20:50
 0  0      0 6459528  34328 824612    0    0     0     0 16882 23831  3  2 95  0  0  0 2026-09-21 16:20:51
 0  0      0 6459528  34328 824612    0    0     0     0 18587 25882  4  2 94  0  0  0 2026-09-21 16:20:52
 0  0      0 6459528  34328 824612    0    0     0     0 19510 26457  5  2 93  0  0  0 2026-09-21 16:20:53
 0  0      0 6453616  34328 824612    0    0     0     4 20978 28778  5  2 93  0  0  0 2026-09-21 16:20:54
 1  0      0 6736100  34328 824396    0    0     0     0 14904 19189  6  3 91  0  0  0 2026-09-21 16:20:55
   0    0     0     0 20354 28710  6  2 92  0  0  0 2026-09-21 16:20:24
 1  0      0 6546400  34320 824500    0    0     0     0 21975 31347  5  2 92  0  0  0 2026-09-21 16:20:25
 0  0      0 6540460  34320 824516    0    0     0     0 23664 32490  7  3 90  0  0  0 2026-09-21 16:20:26
 0  0      0 6535684  34320 824520    0    0     0     0 21208 30040  7  2 91  0  0  0 2026-09-21 16:20:27
 1  0      0 6534344  34320 824520    0    0     0     0 20896 28893  5  2 92  0  0  0 2026-09-21 16:20:28
 0  0      0 6534344  34320 824520    0    0     0    12 18558 25998  6  2 92  0  0  0 2026-09-21 16:20:29
 0  0      0 6533084  34320 824520    0    0     0     0 20305 27178  6  3 91  0  0  0 2026-09-21 16:20:30
 0  0      0 6533084  34320 824524    0    0     0     0 20603 28783  6  3 91  0  0  0 2026-09-21 16:20:31
 4  0      0 6512420  34320 824556    0    0     0  2444 23486 32354  8  4 88  0  0  0 2026-09-21 16:20:32
 0  0      0 6511916  34320 824560    0    0     0     0 21260 30040  6  2 92  0  0  0 2026-09-21 16:20:33
 0  0      0 6511916  34320 824560    0    0     0     0 20460 28722  5  2 92  0  0  0 2026-09-21 16:20:34
 0  0      0 6510404  34320 824560    0    0     0     0 22878 31683  6  3 91  0  0  0 2026-09-21 16:20:35
 0  0      0 6510404  34320 824560    0    0     0     0 21239 30126  5  2 93  0  0  0 2026-09-21 16:20:36
 0  0      0 6507884  34320 824560    0    0     0     0 20920 29709  6  3 92  0  0  0 2026-09-21 16:20:37
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 6497300  34320 824560    0    0     0     0 21541 29919  5  2 93  0  0  0 2026-09-21 16:20:38
 0  0      0 6484448  34320 824580    0    0     0     0 22659 30591  8  3 89  0  0  0 2026-09-21 16:20:39
 1  0      0 6484196  34320 824580    0    0     0     0 19801 28144  4  2 94  0  0  0 2026-09-21 16:20:40
 0  0      0 6484196  34320 824580    0    0     0     0 22082 30531  7  3 91  0  0  0 2026-09-21 16:20:41
 0  0      0 6483176  34320 824600    0    0     0     0 23275 32215  6  3 91  0  0  0 2026-09-21 16:20:42
