procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6504020  34368 824560    0    0     0     0 17704 24613  5  2 94  0  0  0 2026-09-21 16:24:22
 1  0      0 6498396  34368 824560    0    0     0     0 20468 28111  8  3 90  0  0  0 2026-09-21 16:24:23
 1  0      0 6498396  34368 824560    0    0     0     0 21615 30121  5  3 92  0  0  0 2026-09-21 16:24:24
 1  0      0 6497136  34368 824564    0    0     0     0 23493 32736  7  2 91  0  0  0 2026-09-21 16:24:25
 0  0      0 6495588  34368 824564    0    0     0     0 19862 27615  5  2 92  0  0  0 2026-09-21 16:24:26
 0  0      0 6495120  34368 824568    0    0     0     0 16540 23310  5  2 94  0  0  0 2026-09-21 16:24:27
 1  0      0 6492976  34368 824568    0    0     0     0 18880 26532  5  2 93  0  0  0 2026-09-21 16:24:28
 4  0      0 6481924  34368 824568    0    0     0     0 21940 30237  7  3 91  0  0  0 2026-09-21 16:24:29
 0  0      0 6480756  34368 824568    0    0     0     0 20307 27467  7  2 91  0  0  0 2026-09-21 16:24:30
 0  0      0 6480756  34368 824568    0    0     0     0 16636 23263  5  2 93  0  0  0 2026-09-21 16:24:31
 0  0      0 6480000  34376 824584    0    0     0    20 18599 25975  5  2 93  0  0  0 2026-09-21 16:24:32
 0  0      0 6480000  34376 824584    0    0     0     8 17048 24254  5  2 94  0  0  0 2026-09-21 16:24:33
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6478488  34376 824584    0    0     0     0 20240 28078  5  2 93  0  0  0 2026-09-21 16:24:34
 0  0      0 6478488  34376 824584    0    0     0     0 17201 24461  3  2 96  0  0  0 2026-09-21 16:24:35
 0  0      0 6478488  34376 824584    0    0     0     0 17411 24463  3  2 95  0  0  0 2026-09-21 16:24:36
 0  0      0 6473312  34376 824584    0    0     0     0 19765 27914  4  2 94  0  0  0 2026-09-21 16:24:37
 0  0      0 6458864  34376 824584    0    0     0     0 20599 28347  4  2 94  0  0  0 2026-09-21 16:24:38
 1  0      0 6748016  34376 824396    0    0     0     0 15395 19510  5  3 92  0  0  0 2026-09-21 16:24:39
